t.th.name,p.close,p.far,p2.frac.col,max.thresh
m.L,0.973854083933082,0.584312450359849,0.6,FALSE
m.M,0.959225930597936,0.575535558358762,0.6,FALSE
m.H,0.953782415442524,0.572269449265514,0.6,FALSE
m.L,0.97304253848752,0.72978190386564,0.75,FALSE
m.M,0.958891840404893,0.71916888030367,0.75,FALSE
m.H,0.953748359132477,0.715311269349358,0.75,FALSE
m.L,0.970044543310802,0.873040088979722,0.9,FALSE
m.M,0.957834271934157,0.862050844740741,0.9,FALSE
m.H,0.95364533593091,0.858280802337819,0.9,FALSE
m.L,0.973856409138116,0.584313845482869,0.6,TRUE
m.M,0.959229366759228,0.575537620055537,0.6,TRUE
m.H,0.953786217245613,0.572271730347368,0.6,TRUE
m.L,0.973046325662115,0.729784744246586,0.75,TRUE
m.M,0.958897082527997,0.719172811895998,0.75,TRUE
m.H,0.953754083856622,0.715315562892466,0.75,TRUE
m.L,0.9700541442708,0.87304872984372,0.9,TRUE
m.M,0.957845417982323,0.862060876184091,0.9,TRUE
m.H,0.953656870169584,0.858291183152626,0.9,TRUE
